run_id,best_predicted,best_real,final_predicted,final_real,trajectory_length,spearman
2,0.3645144612065134,0.78689235,0.3645144612065134,0.78689235,5,0.8999999999999998
3,0.3784208535319305,0.72356,0.3784208535319305,0.6616192,8,0.5476190476190477
6,0.3755839462872288,0.79195356,0.3755839462872288,0.62124276,8,0.5476190476190477
7,0.38039947916799866,0.67267966,0.38039947916799866,0.49804148,9,0.31666666666666665
8,0.37604887404650433,0.82614523,0.37604887404650433,0.6751948,7,0.39285714285714296
9,0.3743442910231511,0.89442545,0.3743442910231511,0.89442545,10,0.8424242424242423
