run_id,best_predicted,best_real,final_predicted,final_real,trajectory_length,spearman
1,0.3843699710748321,0.8075496,0.3843699710748321,0.5728157,15,0.8928571428571428
2,0.3839733499286833,0.88817877,0.3839733499286833,0.58510286,5,0.3
6,0.3760905394515255,0.6450439,0.3760905394515255,0.50365937,7,0.28571428571428575
8,0.3745755453492642,0.67046344,0.3745755453492642,0.66541255,8,0.38095238095238104
9,0.3752008515470886,0.90578485,0.3752008515470886,0.6901311,6,-0.6571428571428573
10,0.38367731301069524,0.6869562,0.38367731301069524,0.6869562,10,0.41818181818181815
